Samsung,Solar water heater,9735.000000,cdb3d806-62ce-4162-a9c4-751dc48c012a
Sharp,Aroma lamp,987.000000,08316410-b2de-4566-bbff-85e1b76029ea
Toaster and toaster ovens,1207.000000,be9cc02e-4405-4ee8-a471-eef5aaf81952,KitchenAid
Samsung,Solar water heater,9735.000000,cdb3d806-62ce-4162-a9c4-751dc48c012a
Sharp,Aroma lamp,987.000000,08316410-b2de-4566-bbff-85e1b76029ea
KitchenAid,Toaster and toaster ovens,1207.000000,be9cc02e-4405-4ee8-a471-eef5aaf81952
Samsung,Solar water heater,9735.000000,cdb3d806-62ce-4162-a9c4-751dc48c012a
Sharp,Aroma lamp,987.000000,08316410-b2de-4566-bbff-85e1b76029ea
KitchenAid,Toaster and toaster ovens,1207.000000,be9cc02e-4405-4ee8-a471-eef5aaf81952
Solar water heater,9735.000000,cdb3d806-62ce-4162-a9c4-751dc48c012a,Samsung
08316410-b2de-4566-bbff-85e1b76029ea,Sharp,Aroma lamp,987.000000
KitchenAid,Toaster and toaster ovens,1207.000000,be9cc02e-4405-4ee8-a471-eef5aaf81952
Samsung,Solar water heater,9735.000000,cdb3d806-62ce-4162-a9c4-751dc48c012a
Sharp,Aroma lamp,987.000000,08316410-b2de-4566-bbff-85e1b76029ea
Toaster and toaster ovens,1207.000000,be9cc02e-4405-4ee8-a471-eef5aaf81952,KitchenAid
Samsung,Solar water heater,9735.000000,cdb3d806-62ce-4162-a9c4-751dc48c012a
Sharp,Aroma lamp,987.000000,08316410-b2de-4566-bbff-85e1b76029ea
KitchenAid,Toaster and toaster ovens,1207.000000,be9cc02e-4405-4ee8-a471-eef5aaf81952
Samsung,Solar water heater,9735.000000,cdb3d806-62ce-4162-a9c4-751dc48c012a
Aroma lamp,987.000000,08316410-b2de-4566-bbff-85e1b76029ea,Sharp
be9cc02e-4405-4ee8-a471-eef5aaf81952,KitchenAid,Toaster and toaster ovens,1207.000000
cdb3d806-62ce-4162-a9c4-751dc48c012a,Samsung,Solar water heater,9735.000000
Sharp,Aroma lamp,987.000000,08316410-b2de-4566-bbff-85e1b76029ea
Toaster and toaster ovens,1207.000000,be9cc02e-4405-4ee8-a471-eef5aaf81952,KitchenAid
Samsung,Solar water heater,9735.000000,cdb3d806-62ce-4162-a9c4-751dc48c012a
08316410-b2de-4566-bbff-85e1b76029ea,Sharp,Aroma lamp,987.000000
KitchenAid,Toaster and toaster ovens,1207.000000,be9cc02e-4405-4ee8-a471-eef5aaf81952
cdb3d806-62ce-4162-a9c4-751dc48c012a,Samsung,Solar water heater,9735.000000
Sharp,Aroma lamp,987.000000,08316410-b2de-4566-bbff-85e1b76029ea
KitchenAid,Toaster and toaster ovens,1207.000000,be9cc02e-4405-4ee8-a471-eef5aaf81952
Samsung,Solar water heater,9735.000000,cdb3d806-62ce-4162-a9c4-751dc48c012a
Aroma lamp,987.000000,08316410-b2de-4566-bbff-85e1b76029ea,Sharp
KitchenAid,Toaster and toaster ovens,1207.000000,be9cc02e-4405-4ee8-a471-eef5aaf81952
Samsung,Solar water heater,9735.000000,cdb3d806-62ce-4162-a9c4-751dc48c012a
Sharp,Aroma lamp,987.000000,08316410-b2de-4566-bbff-85e1b76029ea
KitchenAid,Toaster and toaster ovens,1207.000000,be9cc02e-4405-4ee8-a471-eef5aaf81952
Samsung,Solar water heater,9735.000000,cdb3d806-62ce-4162-a9c4-751dc48c012a
Sharp,Aroma lamp,987.000000,08316410-b2de-4566-bbff-85e1b76029ea
KitchenAid,Toaster and toaster ovens,1207.000000,be9cc02e-4405-4ee8-a471-eef5aaf81952
Samsung,Solar water heater,9735.000000,cdb3d806-62ce-4162-a9c4-751dc48c012a
